Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OM_ExistingBuildings,Chrome 76.0.3809.100,,2019-08-20 12:13:34,2019-08-20 12:13:47,13.483s,FAILED
,,,,,,
Test Cases/TC_Login,Chrome 76.0.3809.100,,2019-08-20 12:13:36,2019-08-20 12:13:45,9.555s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,2019-08-20 12:13:36,2019-08-20 12:13:36,0.083s,PASSED
runWithCucumberRunner(common.runnerLogin),Chrome 76.0.3809.100,,2019-08-20 12:13:36,2019-08-20 12:13:45,8.927s,FAILED
