Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OM_ExistingBuildings,Chrome 76.0.3809.100,,2019-08-20 11:12:31,2019-08-20 11:13:55,1m - 24.427s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 76.0.3809.100,,2019-08-20 11:12:33,2019-08-20 11:13:46,1m - 12.481s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,2019-08-20 11:12:33,2019-08-20 11:12:34,0.372s,PASSED
runWithCucumberRunner(common.runnerLogin),Chrome 76.0.3809.100,,2019-08-20 11:12:34,2019-08-20 11:13:46,1m - 11.407s,PASSED
