Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OM_ExistingBuildings,Chrome 76.0.3809.100,,2019-08-20 12:16:01,2019-08-20 12:16:13,12.200s,FAILED
,,,,,,
Test Cases/TC_Login,Chrome 76.0.3809.100,,2019-08-20 12:16:03,2019-08-20 12:16:11,8.537s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,2019-08-20 12:16:03,2019-08-20 12:16:03,0.065s,PASSED
runWithCucumberRunner(common.runnerLogin),Chrome 76.0.3809.100,,2019-08-20 12:16:03,2019-08-20 12:16:11,7.940s,FAILED
