Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,Chrome 75.0.3770.100,,,2019-08-07 11:40:08,2019-08-07 11:40:16,7.862s,INCOMPLETE
,,,,,,,
Test Cases/OM_ExistingBuildings/TC_SiteManagement,Chrome 75.0.3770.100,,,2019-08-07 11:40:09,2019-08-07 11:40:16,7.455s,INCOMPLETE
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-08-07 11:40:09,2019-08-07 11:40:09,0.268s,PASSED
runWithCucumberRunner(runner_OM_ExistingBuildings.SiteManagementTestRunner),Chrome 75.0.3770.100,,,2019-08-07 11:40:09,2019-08-07 11:40:16,6.901s,INCOMPLETE
